"id","driver_code","shipment_no","total_costs","cost_status"
1,DRIVER015,SHIPMENT493,3800000.00,PAID
2,DRIVER008,SHIPMENT994,700000.00,CONFIRMED
3,DRIVER031,SHIPMENT247,100000.00,PENDING
4,DRIVER032,SHIPMENT516,4000000.00,CONFIRMED
5,DRIVER017,SHIPMENT824,5800000.00,CONFIRMED
6,DRIVER016,SHIPMENT796,6800000.00,CONFIRMED
7,DRIVER001,SHIPMENT970,7600000.00,PENDING
8,DRIVER019,SHIPMENT998,700000.00,PAID
9,DRIVER033,SHIPMENT345,5600000.00,CONFIRMED
10,DRIVER012,SHIPMENT201,2200000.00,PENDING
11,DRIVER018,SHIPMENT257,9200000.00,PAID
12,DRIVER016,SHIPMENT013,4300000.00,PENDING
13,DRIVER032,SHIPMENT546,2900000.00,CONFIRMED
14,DRIVER034,SHIPMENT862,7300000.00,PENDING
15,DRIVER029,SHIPMENT996,200000.00,CONFIRMED
16,DRIVER010,SHIPMENT553,5700000.00,CONFIRMED
17,DRIVER009,SHIPMENT773,4600000.00,CONFIRMED
18,DRIVER011,SHIPMENT034,1500000.00,PAID
19,DRIVER035,SHIPMENT152,2600000.00,CONFIRMED
20,DRIVER035,SHIPMENT819,3700000.00,PAID
21,DRIVER017,SHIPMENT738,4000000.00,PAID
22,DRIVER020,SHIPMENT050,1600000.00,CONFIRMED
23,DRIVER020,SHIPMENT774,1300000.00,PAID
24,DRIVER025,SHIPMENT639,700000.00,PENDING
25,DRIVER012,SHIPMENT189,3600000.00,PENDING
26,DRIVER017,SHIPMENT965,1200000.00,PAID
27,DRIVER023,SHIPMENT506,3400000.00,PENDING
28,DRIVER013,SHIPMENT017,6300000.00,CONFIRMED
29,DRIVER021,SHIPMENT734,6400000.00,PENDING
30,DRIVER002,SHIPMENT395,600000.00,PAID
31,DRIVER004,SHIPMENT798,3500000.00,PAID
32,DRIVER028,SHIPMENT399,2900000.00,CONFIRMED
33,DRIVER015,SHIPMENT268,8100000.00,PAID
34,DRIVER017,SHIPMENT321,2800000.00,PAID
35,DRIVER032,SHIPMENT369,5400000.00,CONFIRMED
36,DRIVER009,SHIPMENT502,2000000.00,PENDING
37,DRIVER013,SHIPMENT939,6400000.00,CONFIRMED
38,DRIVER010,SHIPMENT585,5300000.00,PENDING
39,DRIVER010,SHIPMENT615,9800000.00,CONFIRMED
40,DRIVER023,SHIPMENT200,800000.00,CONFIRMED
41,DRIVER034,SHIPMENT704,500000.00,CONFIRMED
42,DRIVER029,SHIPMENT546,2000000.00,PENDING
43,DRIVER025,SHIPMENT663,9300000.00,PENDING
44,DRIVER033,SHIPMENT456,7900000.00,CONFIRMED
45,DRIVER003,SHIPMENT172,3900000.00,PENDING
46,DRIVER034,SHIPMENT297,4700000.00,PENDING
47,DRIVER026,SHIPMENT663,5000000.00,PENDING
48,DRIVER018,SHIPMENT810,8000000.00,PENDING
49,DRIVER016,SHIPMENT366,1300000.00,CONFIRMED
50,DRIVER004,SHIPMENT356,500000.00,CONFIRMED
51,DRIVER024,SHIPMENT695,6200000.00,PAID
52,DRIVER033,SHIPMENT695,8600000.00,PENDING
53,DRIVER025,SHIPMENT534,3600000.00,CONFIRMED
54,DRIVER025,SHIPMENT580,3500000.00,PAID
55,DRIVER022,SHIPMENT146,3400000.00,PAID
56,DRIVER001,SHIPMENT612,1800000.00,PAID
57,DRIVER002,SHIPMENT623,5000000.00,PAID
58,DRIVER014,SHIPMENT572,6700000.00,PENDING
59,DRIVER026,SHIPMENT187,8500000.00,PENDING
60,DRIVER005,SHIPMENT125,9600000.00,CONFIRMED
61,DRIVER025,SHIPMENT626,7600000.00,PAID
62,DRIVER017,SHIPMENT240,2800000.00,CONFIRMED
63,DRIVER025,SHIPMENT861,3500000.00,CONFIRMED
64,DRIVER016,SHIPMENT219,900000.00,PAID
65,DRIVER028,SHIPMENT214,1700000.00,CONFIRMED
66,DRIVER004,SHIPMENT650,600000.00,CONFIRMED
67,DRIVER017,SHIPMENT288,5600000.00,PAID
68,DRIVER029,SHIPMENT814,4300000.00,CONFIRMED
69,DRIVER007,SHIPMENT906,6400000.00,PAID
70,DRIVER017,SHIPMENT819,1600000.00,CONFIRMED
71,DRIVER032,SHIPMENT391,2700000.00,PAID
72,DRIVER010,SHIPMENT149,7000000.00,CONFIRMED
73,DRIVER032,SHIPMENT435,5800000.00,PAID
74,DRIVER028,SHIPMENT094,6900000.00,PAID
75,DRIVER028,SHIPMENT849,9200000.00,CONFIRMED
76,DRIVER025,SHIPMENT556,6000000.00,CONFIRMED
77,DRIVER023,SHIPMENT529,2200000.00,PAID
78,DRIVER016,SHIPMENT936,8500000.00,PENDING
79,DRIVER010,SHIPMENT436,2000000.00,CONFIRMED
80,DRIVER020,SHIPMENT994,4800000.00,CONFIRMED
81,DRIVER032,SHIPMENT175,6700000.00,CONFIRMED
82,DRIVER006,SHIPMENT008,5800000.00,PENDING
83,DRIVER032,SHIPMENT962,2200000.00,PENDING
84,DRIVER009,SHIPMENT540,5000000.00,CONFIRMED
85,DRIVER023,SHIPMENT736,9800000.00,CONFIRMED
86,DRIVER028,SHIPMENT023,3000000.00,PAID
87,DRIVER003,SHIPMENT262,1100000.00,PENDING
88,DRIVER011,SHIPMENT443,7900000.00,PENDING
89,DRIVER034,SHIPMENT561,8100000.00,CONFIRMED
90,DRIVER029,SHIPMENT318,7200000.00,PENDING
91,DRIVER020,SHIPMENT220,6000000.00,PAID
92,DRIVER005,SHIPMENT772,4200000.00,CONFIRMED
93,DRIVER008,SHIPMENT059,4300000.00,PAID
94,DRIVER029,SHIPMENT128,700000.00,PAID
95,DRIVER021,SHIPMENT190,1000000.00,CONFIRMED
96,DRIVER028,SHIPMENT203,8200000.00,CONFIRMED
97,DRIVER034,SHIPMENT473,2000000.00,CONFIRMED
98,DRIVER035,SHIPMENT735,600000.00,PENDING
99,DRIVER017,SHIPMENT294,8600000.00,PAID
100,DRIVER007,SHIPMENT120,0.00,CONFIRMED
101,DRIVER017,SHIPMENT562,3300000.00,PENDING
102,DRIVER026,SHIPMENT569,4500000.00,PAID
103,DRIVER018,SHIPMENT838,3600000.00,PAID
104,DRIVER033,SHIPMENT682,6300000.00,PAID
105,DRIVER023,SHIPMENT940,8600000.00,PENDING
106,DRIVER030,SHIPMENT705,2500000.00,PENDING
107,DRIVER007,SHIPMENT770,3500000.00,PENDING
108,DRIVER016,SHIPMENT311,8700000.00,PENDING
109,DRIVER029,SHIPMENT904,8400000.00,CONFIRMED
110,DRIVER007,SHIPMENT577,9400000.00,PENDING
111,DRIVER022,SHIPMENT227,5900000.00,PENDING
112,DRIVER019,SHIPMENT963,500000.00,PAID
113,DRIVER024,SHIPMENT034,7700000.00,PENDING
114,DRIVER025,SHIPMENT307,5700000.00,PAID
115,DRIVER031,SHIPMENT121,4700000.00,PAID
116,DRIVER016,SHIPMENT919,4200000.00,PENDING
117,DRIVER019,SHIPMENT679,1600000.00,PENDING
118,DRIVER015,SHIPMENT388,3000000.00,PAID
119,DRIVER002,SHIPMENT677,5600000.00,PENDING
120,DRIVER025,SHIPMENT611,2700000.00,PENDING
121,DRIVER025,SHIPMENT459,9200000.00,CONFIRMED
122,DRIVER026,SHIPMENT372,9400000.00,CONFIRMED
123,DRIVER004,SHIPMENT545,8600000.00,PENDING
124,DRIVER016,SHIPMENT698,4300000.00,CONFIRMED
125,DRIVER018,SHIPMENT711,8500000.00,CONFIRMED
126,DRIVER019,SHIPMENT202,4500000.00,PENDING
127,DRIVER007,SHIPMENT365,7400000.00,PENDING
128,DRIVER026,SHIPMENT958,8900000.00,CONFIRMED
129,DRIVER023,SHIPMENT129,1600000.00,CONFIRMED
130,DRIVER005,SHIPMENT085,2100000.00,PAID
131,DRIVER011,SHIPMENT810,2200000.00,CONFIRMED
132,DRIVER010,SHIPMENT962,6200000.00,PAID
133,DRIVER005,SHIPMENT227,4400000.00,PAID
134,DRIVER021,SHIPMENT937,8300000.00,PAID
135,DRIVER031,SHIPMENT376,800000.00,CONFIRMED
136,DRIVER016,SHIPMENT156,800000.00,CONFIRMED
137,DRIVER020,SHIPMENT818,9400000.00,PENDING
138,DRIVER019,SHIPMENT709,5900000.00,CONFIRMED
139,DRIVER017,SHIPMENT622,9800000.00,PENDING
140,DRIVER018,SHIPMENT595,3500000.00,CONFIRMED
141,DRIVER013,SHIPMENT361,5600000.00,PENDING
142,DRIVER028,SHIPMENT021,3300000.00,PAID
143,DRIVER029,SHIPMENT242,6100000.00,PAID
144,DRIVER017,SHIPMENT665,1500000.00,CONFIRMED
145,DRIVER024,SHIPMENT595,2400000.00,PAID
146,DRIVER009,SHIPMENT542,1200000.00,PENDING
147,DRIVER016,SHIPMENT342,5500000.00,PAID
148,DRIVER028,SHIPMENT083,2300000.00,PAID
149,DRIVER020,SHIPMENT605,8300000.00,CONFIRMED
150,DRIVER021,SHIPMENT669,3800000.00,CONFIRMED
151,DRIVER026,SHIPMENT471,5200000.00,CONFIRMED
152,DRIVER022,SHIPMENT135,1100000.00,PAID
153,DRIVER021,SHIPMENT219,7900000.00,PENDING
154,DRIVER001,SHIPMENT608,1800000.00,CONFIRMED
155,DRIVER033,SHIPMENT290,1000000.00,PENDING
156,DRIVER026,SHIPMENT112,6700000.00,CONFIRMED
157,DRIVER015,SHIPMENT234,500000.00,CONFIRMED
158,DRIVER012,SHIPMENT292,2100000.00,PAID
159,DRIVER029,SHIPMENT913,700000.00,CONFIRMED
160,DRIVER024,SHIPMENT892,9300000.00,CONFIRMED
161,DRIVER014,SHIPMENT926,8300000.00,PAID
162,DRIVER016,SHIPMENT755,4500000.00,PENDING
163,DRIVER005,SHIPMENT059,6300000.00,PENDING
164,DRIVER029,SHIPMENT421,7100000.00,PAID
165,DRIVER007,SHIPMENT834,7400000.00,PENDING
166,DRIVER001,SHIPMENT166,7300000.00,PENDING
167,DRIVER025,SHIPMENT989,600000.00,PAID
168,DRIVER016,SHIPMENT959,6300000.00,PAID
169,DRIVER003,SHIPMENT951,5400000.00,PAID
170,DRIVER015,SHIPMENT606,3300000.00,PENDING
171,DRIVER013,SHIPMENT804,5100000.00,PAID
172,DRIVER018,SHIPMENT395,4000000.00,PENDING
173,DRIVER034,SHIPMENT820,6400000.00,PENDING
174,DRIVER022,SHIPMENT049,4500000.00,CONFIRMED
175,DRIVER027,SHIPMENT759,400000.00,PAID
176,DRIVER032,SHIPMENT686,8900000.00,CONFIRMED
177,DRIVER014,SHIPMENT274,2300000.00,PAID
178,DRIVER029,SHIPMENT751,7900000.00,PENDING
179,DRIVER023,SHIPMENT685,2900000.00,CONFIRMED
180,DRIVER010,SHIPMENT600,2400000.00,CONFIRMED
181,DRIVER002,SHIPMENT887,3100000.00,PENDING
182,DRIVER009,SHIPMENT534,7900000.00,PAID
183,DRIVER004,SHIPMENT108,3400000.00,CONFIRMED
184,DRIVER002,SHIPMENT438,2500000.00,CONFIRMED
185,DRIVER015,SHIPMENT334,5500000.00,PAID
186,DRIVER005,SHIPMENT375,8400000.00,CONFIRMED
188,DRIVER014,SHIPMENT040,4000000.00,PAID
189,DRIVER031,SHIPMENT473,4200000.00,PENDING
190,DRIVER019,SHIPMENT724,9800000.00,PENDING
191,DRIVER012,SHIPMENT358,6000000.00,PAID
192,DRIVER026,SHIPMENT067,2300000.00,CONFIRMED
193,DRIVER024,SHIPMENT776,1200000.00,CONFIRMED
194,DRIVER023,SHIPMENT627,4400000.00,CONFIRMED
195,DRIVER007,SHIPMENT961,1300000.00,PENDING
196,DRIVER019,SHIPMENT826,9100000.00,PENDING
197,DRIVER020,SHIPMENT500,2000000.00,PAID
198,DRIVER005,SHIPMENT245,4100000.00,CONFIRMED
199,DRIVER027,SHIPMENT872,6700000.00,CONFIRMED
200,DRIVER035,SHIPMENT057,9100000.00,PENDING
201,DRIVER009,SHIPMENT576,8900000.00,PAID
202,DRIVER028,SHIPMENT199,2000000.00,CONFIRMED
203,DRIVER011,SHIPMENT318,2000000.00,CONFIRMED
204,DRIVER028,SHIPMENT601,2300000.00,PAID
205,DRIVER028,SHIPMENT244,8400000.00,CONFIRMED
206,DRIVER023,SHIPMENT005,3100000.00,PENDING
207,DRIVER001,SHIPMENT728,7300000.00,PAID
208,DRIVER028,SHIPMENT395,9600000.00,CONFIRMED
209,DRIVER012,SHIPMENT739,6400000.00,PENDING
210,DRIVER033,SHIPMENT584,7700000.00,CONFIRMED
211,DRIVER012,SHIPMENT116,500000.00,PAID
212,DRIVER006,SHIPMENT914,8800000.00,CONFIRMED
213,DRIVER023,SHIPMENT370,6100000.00,PAID
214,DRIVER017,SHIPMENT959,6500000.00,PENDING
215,DRIVER012,SHIPMENT236,7800000.00,PENDING
216,DRIVER001,SHIPMENT510,9900000.00,PENDING
217,DRIVER023,SHIPMENT341,2600000.00,PENDING
218,DRIVER021,SHIPMENT906,400000.00,PAID
219,DRIVER031,SHIPMENT722,7000000.00,PAID
220,DRIVER016,SHIPMENT319,4200000.00,CONFIRMED
221,DRIVER029,SHIPMENT731,1100000.00,CONFIRMED
222,DRIVER008,SHIPMENT047,7700000.00,PAID
223,DRIVER006,SHIPMENT113,2800000.00,PENDING
224,DRIVER030,SHIPMENT207,400000.00,PENDING
225,DRIVER020,SHIPMENT128,1600000.00,PENDING
226,DRIVER029,SHIPMENT482,9200000.00,CONFIRMED
227,DRIVER010,SHIPMENT017,6900000.00,PAID
228,DRIVER010,SHIPMENT305,6300000.00,PAID
229,DRIVER023,SHIPMENT205,6100000.00,CONFIRMED
230,DRIVER028,SHIPMENT308,2800000.00,CONFIRMED
349,DRIVER022,SHIPMENT694,3100000.00,PAID
231,DRIVER016,SHIPMENT151,8700000.00,CONFIRMED
232,DRIVER021,SHIPMENT652,700000.00,PAID
233,DRIVER010,SHIPMENT185,5300000.00,PENDING
234,DRIVER006,SHIPMENT127,1700000.00,PENDING
235,DRIVER022,SHIPMENT042,8300000.00,CONFIRMED
236,DRIVER006,SHIPMENT953,2100000.00,CONFIRMED
237,DRIVER017,SHIPMENT077,300000.00,PENDING
238,DRIVER026,SHIPMENT273,2700000.00,PAID
239,DRIVER034,SHIPMENT379,1200000.00,CONFIRMED
240,DRIVER033,SHIPMENT958,5400000.00,CONFIRMED
241,DRIVER030,SHIPMENT856,4200000.00,CONFIRMED
242,DRIVER022,SHIPMENT567,4800000.00,PAID
243,DRIVER018,SHIPMENT564,8300000.00,CONFIRMED
244,DRIVER016,SHIPMENT859,1300000.00,PAID
245,DRIVER032,SHIPMENT977,9500000.00,PAID
246,DRIVER019,SHIPMENT806,3000000.00,CONFIRMED
247,DRIVER017,SHIPMENT423,7100000.00,PAID
248,DRIVER027,SHIPMENT515,4500000.00,PAID
249,DRIVER017,SHIPMENT108,9200000.00,PAID
250,DRIVER012,SHIPMENT521,3400000.00,PENDING
251,DRIVER003,SHIPMENT030,5700000.00,CONFIRMED
252,DRIVER030,SHIPMENT623,1400000.00,PENDING
253,DRIVER002,SHIPMENT231,1800000.00,CONFIRMED
254,DRIVER020,SHIPMENT056,3800000.00,PAID
255,DRIVER030,SHIPMENT643,9100000.00,PAID
256,DRIVER030,SHIPMENT559,8900000.00,PENDING
257,DRIVER011,SHIPMENT013,6500000.00,PAID
258,DRIVER007,SHIPMENT430,2800000.00,CONFIRMED
259,DRIVER023,SHIPMENT178,7100000.00,PAID
260,DRIVER029,SHIPMENT867,9300000.00,CONFIRMED
261,DRIVER005,SHIPMENT283,2400000.00,CONFIRMED
262,DRIVER008,SHIPMENT663,8400000.00,PENDING
263,DRIVER023,SHIPMENT673,2900000.00,PAID
264,DRIVER023,SHIPMENT935,6100000.00,PENDING
265,DRIVER030,SHIPMENT490,7400000.00,PENDING
266,DRIVER034,SHIPMENT674,100000.00,PENDING
267,DRIVER018,SHIPMENT921,9700000.00,PAID
268,DRIVER002,SHIPMENT179,4400000.00,CONFIRMED
270,DRIVER009,SHIPMENT415,700000.00,PAID
271,DRIVER010,SHIPMENT834,5900000.00,PAID
272,DRIVER027,SHIPMENT426,8700000.00,CONFIRMED
273,DRIVER027,SHIPMENT558,7200000.00,PAID
274,DRIVER022,SHIPMENT440,7500000.00,CONFIRMED
275,DRIVER018,SHIPMENT330,6400000.00,PENDING
276,DRIVER028,SHIPMENT908,7000000.00,PAID
277,DRIVER011,SHIPMENT841,100000.00,PENDING
278,DRIVER013,SHIPMENT396,3800000.00,CONFIRMED
279,DRIVER031,SHIPMENT404,7200000.00,PENDING
280,DRIVER002,SHIPMENT633,6200000.00,PAID
281,DRIVER027,SHIPMENT690,6800000.00,CONFIRMED
283,DRIVER022,SHIPMENT391,5500000.00,PENDING
284,DRIVER027,SHIPMENT764,6100000.00,PAID
285,DRIVER030,SHIPMENT583,7400000.00,CONFIRMED
286,DRIVER008,SHIPMENT717,3000000.00,CONFIRMED
287,DRIVER003,SHIPMENT099,8600000.00,CONFIRMED
288,DRIVER011,SHIPMENT719,7100000.00,CONFIRMED
289,DRIVER020,SHIPMENT073,8300000.00,PENDING
290,DRIVER005,SHIPMENT505,9800000.00,PENDING
291,DRIVER001,SHIPMENT373,9700000.00,PAID
292,DRIVER003,SHIPMENT586,5800000.00,PAID
293,DRIVER011,SHIPMENT231,2100000.00,CONFIRMED
294,DRIVER005,SHIPMENT150,6400000.00,PAID
295,DRIVER017,SHIPMENT161,9100000.00,PAID
296,DRIVER034,SHIPMENT005,4700000.00,PAID
297,DRIVER023,SHIPMENT386,700000.00,PENDING
298,DRIVER035,SHIPMENT304,1000000.00,CONFIRMED
299,DRIVER017,SHIPMENT847,6900000.00,PAID
300,DRIVER034,SHIPMENT345,1800000.00,PAID
301,DRIVER017,SHIPMENT529,0.00,PAID
302,DRIVER002,SHIPMENT501,9200000.00,PAID
303,DRIVER009,SHIPMENT777,8200000.00,CONFIRMED
304,DRIVER014,SHIPMENT518,5100000.00,PENDING
305,DRIVER031,SHIPMENT894,4800000.00,PAID
306,DRIVER015,SHIPMENT440,8500000.00,CONFIRMED
307,DRIVER031,SHIPMENT995,2300000.00,CONFIRMED
308,DRIVER008,SHIPMENT956,6100000.00,PENDING
310,DRIVER018,SHIPMENT211,8700000.00,CONFIRMED
311,DRIVER005,SHIPMENT722,9400000.00,PAID
312,DRIVER016,SHIPMENT977,1700000.00,PAID
313,DRIVER029,SHIPMENT071,7000000.00,PENDING
314,DRIVER015,SHIPMENT297,4500000.00,CONFIRMED
315,DRIVER024,SHIPMENT102,3800000.00,PENDING
316,DRIVER032,SHIPMENT407,5900000.00,CONFIRMED
317,DRIVER017,SHIPMENT336,8000000.00,CONFIRMED
318,DRIVER033,SHIPMENT566,3400000.00,PENDING
319,DRIVER015,SHIPMENT987,2000000.00,CONFIRMED
320,DRIVER020,SHIPMENT851,8300000.00,PENDING
321,DRIVER010,SHIPMENT817,3400000.00,CONFIRMED
322,DRIVER014,SHIPMENT584,800000.00,PENDING
323,DRIVER030,SHIPMENT933,1600000.00,PAID
324,DRIVER026,SHIPMENT178,2300000.00,PAID
325,DRIVER022,SHIPMENT803,8300000.00,PENDING
326,DRIVER007,SHIPMENT908,9600000.00,PENDING
327,DRIVER032,SHIPMENT160,200000.00,PENDING
328,DRIVER035,SHIPMENT221,6700000.00,PAID
329,DRIVER011,SHIPMENT785,3900000.00,PAID
330,DRIVER017,SHIPMENT650,7000000.00,CONFIRMED
331,DRIVER024,SHIPMENT202,2300000.00,PENDING
